Source,Target,Weight
2023-11,in gaza,1400
2023-10,in gaza,1170
2023-12,in gaza,1015
2023-11,israel s,989
2023-11,the israeli,914
2023-10,israel s,883
2024-03,in gaza,837
2023-10,the israeli,802
2024-01,in gaza,725
2023-10,gaza strip,695
2024-02,in gaza,648
2023-12,israel s,605
2023-11,gaza strip,600
2023-10,the gaza,599
2024-02,israel s,592
2023-11,the gaza,578
2023-11,the war,577
2024-01,israel s,569
2023-12,the israeli,564
2024-03,israel s,557
2021-05,in gaza,538
2023-12,the war,477
2021-05,the israeli,456
2024-03,the israeli,423
2021-05,israel s,422
2024-04,in gaza,394
2023-10,israel and,393
2024-01,the israeli,388
2024-04,israel s,387
2024-02,the israeli,375
2023-10,the war,364
2024-01,the war,362
2023-11,israel and,358
2023-11,on gaza,358
2023-10,on gaza,334
2024-03,the war,328
2024-03,on gaza,325
2024-02,on gaza,321
2023-11,israeli forces,310
2024-01,on gaza,306
2023-11,of israel,298
2023-12,the gaza,293
2023-12,gaza strip,285
2021-05,gaza strip,283
2024-04,the israeli,280
2023-12,on gaza,276
2024-02,the war,265
2021-05,the gaza,264
2022-05,the israeli,257
2023-10,of israel,235
2023-12,israeli forces,222
2022-05,israeli forces,216
2024-04,the war,216
2021-05,israel and,199
2023-12,israel and,190
2024-04,on gaza,189
2021-06,the israeli,185
2024-02,gaza strip,178
2024-01,the gaza,174
2023-07,the israeli,173
2023-07,israel s,172
2023-10,israeli forces,171
2022-09,the israeli,171
2024-02,the gaza,171
2023-12,of israel,168
2023-01,the israeli,166
2024-01,gaza strip,164
2024-02,of israel,164
2023-05,the israeli,163
2024-03,of israel,162
2021-05,of israel,162
2024-03,the gaza,161
2023-02,the israeli,157
2023-06,the israeli,152
2024-03,gaza strip,151
2023-04,the israeli,147
2024-01,of israel,144
2021-06,israel s,138
2024-01,israel and,134
2024-01,israeli forces,127
2024-02,israeli forces,121
2024-03,israel and,121
2021-05,on gaza,119
2021-05,israeli forces,115
2023-01,israel s,113
2022-08,the israeli,113
2023-07,israeli forces,111
2023-06,israeli forces,109
2023-01,israeli forces,108
2024-02,israel and,105
2022-12,the israeli,105
2021-09,the israeli,104
2022-04,the israeli,101
2022-05,israel s,101
2022-04,israeli forces,99
2021-07,the israeli,97
2024-04,of israel,94
2022-12,israel s,93
2022-08,in gaza,93
2024-03,israeli forces,93
2022-08,gaza strip,92
2024-04,israel and,89
2023-05,israel s,88
2023-03,the israeli,88
2021-08,the israeli,87
2022-09,israeli forces,86
2021-06,in gaza,85
2021-06,israeli forces,83
2023-04,israel s,82
2022-06,israeli forces,78
2023-02,israeli forces,77
2022-08,israel s,76
2024-04,the gaza,76
2023-02,israel s,75
2023-08,the israeli,74
2022-10,israeli forces,74
2022-09,israel s,73
2022-11,the israeli,73
2023-05,israeli forces,72
2022-10,the israeli,72
2021-07,israel s,71
2022-08,the gaza,71
2022-08,israeli forces,71
2023-06,israel s,70
2022-07,the israeli,68
2021-10,the israeli,67
2021-06,israel and,66
2022-06,the israeli,65
2023-04,israeli forces,65
2024-04,gaza strip,65
2022-07,israeli forces,63
2021-06,gaza strip,63
2023-08,israel s,62
2023-07,of israel,62
2023-03,israeli forces,61
2023-03,israel s,61
2021-06,of israel,58
2023-05,gaza strip,58
2021-06,the gaza,56
2023-09,the israeli,56
2021-08,in gaza,54
2022-04,israel s,52
2023-05,in gaza,48
2022-11,israel s,48
2022-12,israeli forces,46
2023-08,israeli forces,45
2021-08,gaza strip,44
2021-08,israel and,43
2021-09,israel s,43
2023-06,gaza strip,43
2023-09,israel s,42
2021-09,israeli forces,42
2022-05,of israel,41
2021-11,the israeli,41
2022-07,israel s,41
2021-12,israel s,41
2023-01,of israel,40
2024-04,israeli forces,40
2022-05,gaza strip,39
2022-08,israel and,39
2023-05,the gaza,39
2022-08,on gaza,38
2021-10,israel s,38
2023-01,israel and,38
2022-05,in gaza,38
2021-08,israel s,38
2023-04,gaza strip,37
2022-04,gaza strip,37
2022-07,israel and,37
2021-06,on gaza,37
2023-05,israel and,36
2023-05,of israel,36
2023-09,israeli forces,36
2022-03,israel s,36
2022-06,israel s,35
2023-01,in gaza,35
2021-12,the israeli,35
2023-09,israel and,34
2021-08,the gaza,34
2022-11,israeli forces,34
2023-08,of israel,34
2021-09,gaza strip,33
2022-05,israel and,33
2023-04,of israel,33
2022-05,the gaza,32
2021-08,israeli forces,32
2023-02,of israel,31
2022-10,israel s,31
2022-03,the israeli,30
2022-12,of israel,30
2023-02,gaza strip,30
2023-07,israel and,29
2021-07,of israel,29
2021-09,in gaza,29
2021-09,the gaza,29
2023-04,israel and,29
2023-06,the gaza,28
2023-01,gaza strip,28
2022-02,the israeli,26
2023-06,of israel,26
2023-02,israel and,26
2022-06,israel and,25
2023-04,the gaza,25
2022-04,israel and,25
2022-04,in gaza,25
2021-07,gaza strip,25
2021-11,israel s,25
2022-06,gaza strip,25
2021-05,the war,24
2021-07,israeli forces,24
2022-01,the israeli,24
2022-09,gaza strip,24
2023-08,israel and,24
2021-07,israel and,23
2022-06,in gaza,22
2022-09,of israel,22
2023-02,the gaza,21
2023-09,gaza strip,21
2021-07,the gaza,21
2023-04,in gaza,21
2023-09,of israel,21
2022-04,the gaza,20
2022-11,of israel,20
2022-12,israel and,20
2022-06,the gaza,20
2021-09,israel and,20
2022-03,israeli forces,19
2023-06,israel and,19
2022-12,gaza strip,19
2022-06,of israel,19
2021-12,in gaza,19
2022-10,gaza strip,19
2021-12,gaza strip,19
2023-07,gaza strip,18
2023-09,in gaza,18
2022-11,gaza strip,17
2022-09,israel and,17
2022-03,israel and,17
2022-04,on gaza,17
2021-09,of israel,17
2021-12,the gaza,17
2021-08,on gaza,17
2023-06,in gaza,17
2023-03,of israel,17
2023-05,on gaza,17
2022-08,of israel,17
2023-01,the gaza,16
2023-08,gaza strip,16
2022-01,israel s,16
2022-02,israel s,16
2022-02,israeli forces,16
2022-10,of israel,15
2023-07,in gaza,15
2022-07,of israel,15
2022-10,in gaza,15
2021-07,in gaza,15
2022-10,israel and,14
2021-10,israeli forces,14
2023-09,the gaza,14
2022-05,the war,13
2023-02,in gaza,13
2021-08,of israel,13
2022-03,gaza strip,13
2021-11,israeli forces,13
2021-06,the war,12
2021-11,of israel,12
2022-12,the gaza,12
2022-09,in gaza,12
2022-01,of israel,12
2021-10,of israel,12
2023-08,the gaza,11
2021-10,gaza strip,11
2021-10,in gaza,11
2022-04,of israel,11
2023-03,gaza strip,11
2023-03,israel and,11
2021-09,on gaza,11
2023-07,the gaza,10
2023-04,on gaza,10
2021-11,israel and,10
2022-09,the gaza,10
2021-12,israel and,10
2022-10,on gaza,9
2022-11,israel and,9
2022-07,in gaza,9
2023-03,the gaza,8
2023-01,on gaza,8
2022-02,of israel,8
2021-10,the gaza,8
2021-11,gaza strip,8
2022-05,on gaza,8
2022-03,of israel,8
2022-01,israeli forces,7
2023-04,the war,7
2021-10,israel and,7
2022-11,the gaza,6
2022-02,israel and,6
2021-12,of israel,6
2023-07,on gaza,6
2023-06,the war,6
2022-07,gaza strip,6
2022-10,the gaza,6
2023-07,the war,5
2022-02,gaza strip,5
2022-02,in gaza,5
2022-07,the gaza,5
2021-07,on gaza,5
2021-12,israeli forces,5
2021-10,on gaza,5
2022-03,the war,5
2022-03,the gaza,5
2022-03,in gaza,5
2022-12,the war,5
2022-11,in gaza,4
2022-12,on gaza,4
2021-12,the war,4
2021-08,the war,4
2022-02,the gaza,4
2022-07,on gaza,4
2022-12,in gaza,4
2021-11,the gaza,4
2022-09,on gaza,3
2023-06,on gaza,3
2023-02,on gaza,3
2023-03,in gaza,3
2022-01,israel and,3
2023-01,the war,3
2022-04,the war,3
2022-09,the war,3
2022-11,on gaza,3
2023-08,the war,3
2017-06,the war,3
2022-06,on gaza,2
2023-08,in gaza,2
2023-05,the war,2
2023-03,the war,2
2022-01,gaza strip,2
2021-11,on gaza,2
2021-11,in gaza,2
2021-12,on gaza,2
2021-10,the war,2
2017-06,israel s,2
2022-06,the war,1
2022-01,in gaza,1
2022-01,on gaza,1
2022-10,the war,1
2022-08,the war,1
2017-06,of israel,1
2017-06,the israeli,1
2021-09,the war,1
2021-11,the war,1
2021-07,the war,1
2023-09,the war,1
2023-03,on gaza,1
